Time,Association Request,Association Response,Reassociation Request,Reassociation Response,Probe Request,Probe Response,Beacon,ATIM,Disassociation,Authentication,Deauthentication,Action,Block Ack Request,Block Ack,PS-Poll,RTS,CTS,ACK,CF-end,CF-end+CF-ack,Data,Data+CF-ack,Data+CF-poll,Data+CF-ack+CF-poll,Null,CF-ack,CF-poll,CF-ack+CF-poll,QoS data,QoS data+CF-ack,QoS data+CF-poll,QoS data+CF-ack+CF-poll,QoS Null,QoS+CF-poll(no data),Qos+CF-ack(no data),Traffic
1498296728000,0,0,0,0,9,2,146,0,0,0,0,0,1,2,0,132,1,4,0,0,0,0,0,0,0,0,0,0,50,0,0,0,2,0,0,Low rate traffic
1498296743000,0,0,0,0,13,8,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low rate traffic
1498296758000,0,0,0,0,0,0,146,0,0,0,0,0,1,2,0,188,2,4,0,0,0,0,0,0,0,0,0,0,57,0,0,0,2,0,0,Low rate traffic
1498296773000,0,0,0,0,0,0,147,0,0,0,0,0,1,3,0,132,1,7,0,0,1,0,0,0,0,0,0,0,52,0,0,0,3,0,0,Low rate traffic
1498296788000,0,0,0,0,9,1,145,0,0,0,0,0,1,3,0,133,1,10,0,0,0,0,0,0,0,0,0,0,50,0,0,0,3,0,0,Low rate traffic
1498296803000,0,0,0,0,15,9,139,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low rate traffic
1498296818000,0,0,0,0,0,0,147,0,0,0,0,0,1,3,0,205,2,2,0,0,0,0,0,0,0,0,0,0,61,0,0,0,2,0,0,Low rate traffic
1498296833000,0,0,0,0,0,0,145,0,0,0,0,0,1,2,0,133,1,5,0,0,0,0,0,0,0,0,0,0,45,0,0,0,2,0,0,Low rate traffic
1498296848000,0,0,0,0,8,1,146,0,0,0,0,0,1,2,0,132,1,8,0,0,5,0,0,0,0,0,0,0,46,0,0,0,2,0,0,Low rate traffic
1498296863000,0,0,0,0,13,8,137,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low rate traffic
1498296878000,0,0,0,0,4,2,147,0,0,0,0,0,1,2,0,134,2,5,0,0,0,0,0,0,0,0,0,0,49,0,0,0,2,0,0,Low rate traffic
1498296893000,0,0,0,0,0,0,146,0,0,0,0,0,1,2,0,133,1,6,0,0,0,0,0,0,0,0,0,0,49,0,0,0,2,0,0,Low rate traffic
1498296908000,0,0,0,0,7,1,147,0,0,0,0,0,1,2,0,133,1,8,0,0,1,0,0,0,0,0,0,0,51,0,0,0,2,0,0,Low rate traffic
1498296923000,0,0,0,0,0,0,146,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,Low rate traffic
1498296938000,0,0,0,0,15,11,140,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low rate traffic
1498296953000,0,0,0,0,2,1,146,0,0,0,0,0,1,2,0,156,2,10,0,0,0,0,0,0,0,0,0,0,55,0,0,0,2,0,0,Low rate traffic
1498296968000,0,0,0,0,11,2,147,0,0,0,0,0,1,2,0,133,1,9,0,0,0,0,0,0,0,0,0,0,49,0,0,0,2,0,0,Low rate traffic
1498296983000,0,0,0,0,0,8,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low rate traffic
1498296998000,0,0,0,0,13,8,138,0,0,0,0,0,1,2,0,133,1,2,0,0,0,0,0,0,0,0,0,0,49,0,0,0,2,0,0,Low rate traffic
1498297013000,0,0,0,0,2,1,146,0,0,0,0,0,1,2,0,134,2,5,0,0,0,0,0,0,0,0,0,0,54,0,0,0,2,0,0,Low rate traffic
1498297028000,0,0,0,0,0,0,147,0,0,0,0,0,1,4,0,133,1,4,0,0,1,0,0,0,0,0,0,0,49,0,0,0,4,0,0,Low rate traffic
1498297043000,0,0,0,0,9,9,146,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low rate traffic
